CPU_32v7 :: 
PARIDE_KBIC :: drivers/block/paride/kbic.c=
MACH_RD88F5182 :: arch/arm/mach-orion5x/rd88f5182-setup.c=
USB_ZD1201 :: usb/=drivers/net/wireless/zd1201.c=drivers/net/wireless/zd1201.h=
ASUS_OLED :: drivers/staging/asus_oled/asus_oled.c=asus_oled/=
SERIAL_NETX :: drivers/tty/serial/netx-serial.c=
AGP_UNINORTH :: drivers/char/agp/uninorth-agp.c=
MACH_TS209 :: arch/arm/mach-orion5x/ts209-setup.c=arch/arm/mach-orion5x/tsx09-common.c=arch/arm/mach-orion5x/tsx09-common.h=
INPUT_WM831X_ON :: drivers/input/misc/wm831x-on.c=
SND_INDIGO :: sound/pci/echoaudio/indigo.c=
USB_MUSB_UX500 :: drivers/usb/musb/ux500.c=
PATA_HPT366 :: drivers/ata/pata_hpt366.c=
SH_7343_SOLUTION_ENGINE :: 7343/=
NET_ACT_MIRRED :: net/sched/act_mirred.c=
SENSORS_AMS :: drivers/macintosh/ams/ams-core.c=drivers/macintosh/ams/ams-input.c=ams/=
HOSTFS :: fs/hostfs/hostfs_kern.c=fs/hostfs/hostfs_user.c=hostfs/=
FB_MB862XX_I2C :: drivers/video/mb862xx/mb862xx-i2c.c=
MACH_MX31LITE :: arch/arm/mach-imx/mach-mx31lite.c=arch/arm/mach-imx/mx31lite-db.c=
NLS_CODEPAGE_855 :: fs/nls/nls_cp855.c=
NLS_CODEPAGE_852 :: fs/nls/nls_cp852.c=
SSB_SPROM :: drivers/ssb/sprom.c=
NLS_CODEPAGE_850 :: fs/nls/nls_cp850.c=
W1_SLAVE_DS2760 :: drivers/w1/slaves/w1_ds2760.c=drivers/w1/slaves/w1_ds2760.h=
MAC_FLOPPY :: drivers/block/swim3.c=
SENSORS_DS620 :: drivers/hwmon/ds620.c=
PPC_MPC52xx :: 52xx/=arch/powerpc/sysdev/mpc5xxx_clocks.c=
BRIDGE_EBT_LOG :: net/bridge/netfilter/ebt_log.c=
IXP2000_WATCHDOG :: drivers/watchdog/ixp2000_wdt.c=
SENSORS_CORETEMP :: drivers/hwmon/coretemp.c=
CGROUP_DEVICE :: security/device_cgroup.c=
PPC_WSP :: wsp/=arch/powerpc/platforms/wsp/scom_wsp.c=
PPC_CELLEB :: arch/powerpc/platforms/cell/celleb_setup.c=arch/powerpc/platforms/cell/celleb_pci.c=arch/powerpc/platforms/cell/celleb_pci.h=arch/powerpc/platforms/cell/celleb_scc_epci.c=arch/powerpc/platforms/cell/celleb_scc_pciex.c=arch/powerpc/platforms/cell/celleb_scc_uhc.c=arch/powerpc/platforms/cell/spider-pci.c=arch/powerpc/platforms/cell/beat.c=arch/powerpc/platforms/cell/beat.h=arch/powerpc/platforms/cell/beat_htab.c=arch/powerpc/platforms/cell/beat_hvCall.S=arch/powerpc/platforms/cell/beat_interrupt.c=arch/powerpc/platforms/cell/beat_interrupt.h=arch/powerpc/platforms/cell/beat_iommu.c=arch/powerpc/platforms/cell/beat_udbg.c=arch/powerpc/platforms/cell/celleb_scc_sio.c=arch/powerpc/platforms/cell/beat_spu_priv1.c=
SENSORS_EMC1403 :: drivers/hwmon/emc1403.c=
GENERIC_ALLOCATOR :: lib/genalloc.c=
S3C2410_SETUP_TS :: arch/arm/plat-s3c24xx/setup-ts.c=
SERIAL_AMBA_PL011 :: drivers/tty/serial/amba-pl011.c=
SERIAL_AMBA_PL010 :: drivers/tty/serial/amba-pl010.c=
COMEDI_ADL_PCI9118 :: drivers/staging/comedi/drivers/adl_pci9118.c=
SCSI_AIC7XXX_OLD :: drivers/scsi/aic7xxx_old.c=
TIMER_ACORN :: arch/arm/common/time-acorn.c=
VIDEO_CX88_VP3054 :: drivers/media/video/cx88/cx88-vp3054-i2c.c=drivers/media/video/cx88/cx88-vp3054-i2c.h=
COMEDI_ADL_PCI9111 :: drivers/staging/comedi/drivers/adl_pci9111.c=
HID_WACOM :: drivers/hid/hid-wacom.c=
CACHEFILES :: fs/cachefiles/bind.c=fs/cachefiles/daemon.c=fs/cachefiles/interface.c=fs/cachefiles/key.c=fs/cachefiles/main.c=fs/cachefiles/namei.c=fs/cachefiles/rdwr.c=fs/cachefiles/security.c=fs/cachefiles/xattr.c=cachefiles/=
MACH_AT91SAM_DT :: arch/arm/mach-at91/board-dt.c=
STMMAC_CHAINED :: drivers/net/ethernet/stmicro/stmmac/chain_mode.c=
PATA_HPT37X :: drivers/ata/pata_hpt37x.c=
SUN3X :: arch/m68k/sun3x/	arch/m68k/sun3/=
NLS_CODEPAGE_869 :: fs/nls/nls_cp869.c=
GPIO_VR41XX :: drivers/gpio/gpio-vr41xx.c=
IDE_TIMINGS :: drivers/ide/ide-timings.c=
W1_SLAVE_DS2780 :: drivers/w1/slaves/w1_ds2780.c=drivers/w1/slaves/w1_ds2780.h=
ATH9K_HTC :: drivers/net/wireless/ath/ath9k/htc_hst.c=drivers/net/wireless/ath/ath9k/htc_hst.h=drivers/net/wireless/ath/ath9k/hif_usb.c=drivers/net/wireless/ath/ath9k/hif_usb.h=drivers/net/wireless/ath/ath9k/wmi.c=drivers/net/wireless/ath/ath9k/wmi.h=drivers/net/wireless/ath/ath9k/htc_drv_txrx.c=drivers/net/wireless/ath/ath9k/htc_drv_main.c=drivers/net/wireless/ath/ath9k/htc_drv_beacon.c=drivers/net/wireless/ath/ath9k/htc_drv_init.c=drivers/net/wireless/ath/ath9k/htc_drv_gpio.c=
EDAC_CPC925 :: drivers/edac/cpc925_edac.c=
MTD_DOCECC :: drivers/mtd/devices/docecc.c=
NLS_CODEPAGE_874 :: fs/nls/nls_cp874.c=
REGULATOR_AAT2870 :: drivers/regulator/aat2870-regulator.c=
FSL_HV_MANAGER :: drivers/virt/fsl_hypervisor.c=
MACH_RX1950 :: arch/arm/mach-s3c2440/mach-rx1950.c=
MMC_SDHCI_OF_ESDHC :: drivers/mmc/host/sdhci-of-esdhc.c=
MACH_PCA100 :: arch/arm/mach-imx/mach-pca100.c=
LOGO_LINUX_VGA16 :: drivers/video/logo/logo_linux_vga16.ppm=
ATH5K :: drivers/net/wireless/ath/ath5k/caps.c=drivers/net/wireless/ath/ath5k/initvals.c=drivers/net/wireless/ath/ath5k/eeprom.c=drivers/net/wireless/ath/ath5k/eeprom.h=drivers/net/wireless/ath/ath5k/gpio.c=drivers/net/wireless/ath/ath5k/desc.c=drivers/net/wireless/ath/ath5k/desc.h=drivers/net/wireless/ath/ath5k/dma.c=drivers/net/wireless/ath/ath5k/qcu.c=drivers/net/wireless/ath/ath5k/pcu.c=drivers/net/wireless/ath/ath5k/phy.c=drivers/net/wireless/ath/ath5k/reset.c=drivers/net/wireless/ath/ath5k/attach.c=drivers/net/wireless/ath/ath5k/base.c=drivers/net/wireless/ath/ath5k/base.h=drivers/net/wireless/ath/ath5k/led.c=drivers/net/wireless/ath/ath5k/rfkill.c=drivers/net/wireless/ath/ath5k/ani.c=drivers/net/wireless/ath/ath5k/ani.h=drivers/net/wireless/ath/ath5k/sysfs.c=drivers/net/wireless/ath/ath5k/mac80211-ops.c=ath5k/=
SIBYTE_SB1250 :: arch/mips/pci/fixup-sb1250.c=arch/mips/pci/pci-sb1250.c=sb1250/=common/=sibyte/=sibyte/=
NLS_CODEPAGE_857 :: fs/nls/nls_cp857.c=
XTENSA_VARIANT_LINUX_CUSTOM :: 
PINCTRL :: drivers/pinctrl/core.c=drivers/pinctrl/core.h=
PNX833X_WDT :: drivers/watchdog/pnx833x_wdt.c=
ATH9K_HTC_DEBUGFS :: drivers/net/wireless/ath/ath9k/htc_drv_debug.c=
MOUSE_AMIGA :: drivers/input/mouse/amimouse.c=
PMIC_ADP5520 :: drivers/mfd/adp5520.c=
USB_CI13XXX_MSM :: drivers/usb/gadget/ci13xxx_msm.c=
NLS_CODEPAGE_860 :: fs/nls/nls_cp860.c=
MTD_SC520CDP :: drivers/mtd/maps/sc520cdp.c=
NLS_CODEPAGE_861 :: fs/nls/nls_cp861.c=
TRACE_SINK :: drivers/tty/n_tracesink.c=drivers/tty/n_tracesink.h=
NLS_CODEPAGE_862 :: fs/nls/nls_cp862.c=
NLS_CODEPAGE_863 :: fs/nls/nls_cp863.c=
NLS_CODEPAGE_864 :: fs/nls/nls_cp864.c=
NLS_CODEPAGE_865 :: fs/nls/nls_cp865.c=
NLS_CODEPAGE_866 :: fs/nls/nls_cp866.c=
S3C2443_DMA :: arch/arm/mach-s3c2443/dma.c=
DVB_ATBM8830 :: drivers/media/dvb/frontends/atbm8830.c=drivers/media/dvb/frontends/atbm8830.h=
NFSD_V3 :: fs/nfsd/nfs3proc.c=fs/nfsd/nfs3xdr.c=
SERIAL_SUNSU :: drivers/tty/serial/sunsu.c=
PCMCIA_XXS1500 :: drivers/pcmcia/xxs1500_ss.c=
X86_SPEEDSTEP_LIB :: drivers/cpufreq/speedstep-lib.c=drivers/cpufreq/speedstep-lib.h=
PRISM54 :: prism54/=drivers/net/wireless/prism54/islpci_eth.c=drivers/net/wireless/prism54/islpci_eth.h=drivers/net/wireless/prism54/islpci_mgt.c=drivers/net/wireless/prism54/islpci_mgt.h=drivers/net/wireless/prism54/isl_38xx.c=drivers/net/wireless/prism54/isl_38xx.h=drivers/net/wireless/prism54/isl_ioctl.c=drivers/net/wireless/prism54/isl_ioctl.h=drivers/net/wireless/prism54/islpci_dev.c=drivers/net/wireless/prism54/islpci_dev.h=drivers/net/wireless/prism54/islpci_hotplug.c=drivers/net/wireless/prism54/oid_mgt.c=drivers/net/wireless/prism54/oid_mgt.h=
NFSD_V4 :: fs/nfsd/nfs4proc.c=fs/nfsd/nfs4xdr.c=fs/nfsd/nfs4state.c=fs/nfsd/nfs4idmap.c=fs/nfsd/nfs4acl.c=fs/nfsd/nfs4callback.c=fs/nfsd/nfs4recover.c=
TPS6507X :: drivers/mfd/tps6507x.c=
LANTIQ_MACH_EASY50601 :: arch/mips/lantiq/xway/mach-easy50601.c=
MAC89x0 :: drivers/net/ethernet/cirrus/mac89x0.c=
FSL_85XX_CACHE_SRAM :: arch/powerpc/sysdev/fsl_85xx_l2ctlr.c=arch/powerpc/sysdev/fsl_85xx_cache_sram.c=
MICROCODE_INTEL :: arch/x86/kernel/microcode_intel.c=
NET_SCH_DRR :: net/sched/sch_drr.c=
MTD_COMPLEX_MAPPINGS :: drivers/mtd/maps/map_funcs.c=
ENC28J60 :: drivers/net/ethernet/microchip/enc28j60.c=
INTEL_MFLD_THERMAL :: drivers/platform/x86/intel_mid_thermal.c=
USB_GSPCA_TOPRO :: drivers/media/video/gspca/topro.c=
MACH_EUKREA_CPUIMX35SD :: arch/arm/mach-imx/mach-cpuimx35.c=
IPV6 :: net/dccp/ipv6.c=net/dccp/ipv6.h=net/ipv6/af_inet6.c=net/ipv6/anycast.c=net/ipv6/ip6_output.c=net/ipv6/ip6_input.c=net/ipv6/addrconf.c=net/ipv6/addrlabel.c=net/ipv6/route.c=net/ipv6/ip6_fib.c=net/ipv6/ipv6_sockglue.c=net/ipv6/ndisc.c=net/ipv6/udp.c=net/ipv6/udplite.c=net/ipv6/raw.c=net/ipv6/protocol.c=net/ipv6/icmp.c=net/ipv6/mcast.c=net/ipv6/reassembly.c=net/ipv6/tcp_ipv6.c=net/ipv6/exthdrs.c=net/ipv6/datagram.c=net/ipv6/ip6_flowlabel.c=net/ipv6/inet6_connection_sock.c=net/ipv6/inet6_hashtables.c=net/sctp/ipv6.c=
BT_HCIBTUART :: drivers/bluetooth/btuart_cs.c=
FB_CONTROL :: drivers/video/controlfb.c=drivers/video/controlfb.h=
TIFM_7XX1 :: drivers/misc/tifm_7xx1.c=
PCWATCHDOG :: drivers/watchdog/pcwd.c=
USER_RETURN_NOTIFIER :: kernel/user-return-notifier.c=
SERIO_AMS_DELTA :: drivers/input/serio/ams_delta_serio.c=
RTAS_FLASH :: arch/powerpc/kernel/rtas_flash.c=
SYSV68_PARTITION :: fs/partitions/sysv68.c=fs/partitions/sysv68.h=
VIRTIO_CONSOLE :: drivers/char/virtio_console.c=
ARM_THUMBEE :: arch/arm/kernel/thumbee.c=
PS3_DISK :: drivers/block/ps3disk.c=
MACE :: drivers/net/ethernet/apple/mace.c=drivers/net/ethernet/apple/mace.h=
SC520_CPUFREQ :: drivers/cpufreq/sc520_freq.c=
IMX_HAVE_PLATFORM_MXC_EHCI :: arch/arm/plat-mxc/devices/platform-mxc-ehci.c=
MACB :: drivers/net/ethernet/cadence/macb.c=drivers/net/ethernet/cadence/macb.h=
MACH_CNS3420VB :: arch/arm/mach-cns3xxx/cns3420vb.c=
IPWIRELESS :: drivers/tty/ipwireless/hardware.c=drivers/tty/ipwireless/hardware.h=drivers/tty/ipwireless/main.c=drivers/tty/ipwireless/main.h=drivers/tty/ipwireless/network.c=drivers/tty/ipwireless/network.h=drivers/tty/ipwireless/tty.c=drivers/tty/ipwireless/tty.h=
PARISC :: parisc/=drivers/pci/setup-bus.c=
MACH_XCEP :: arch/arm/mach-pxa/xcep.c=
XO1_RFKILL :: drivers/platform/x86/xo1-rfkill.c=
SAMSUNG_CLKSRC :: arch/arm/plat-samsung/clock-clksrc.c=
ADE7854_I2C :: drivers/staging/iio/meter/ade7854-i2c.c=
CPU_RMAP :: lib/cpu_rmap.c=
PPP_SYNC_TTY :: ppp/=drivers/net/ppp/ppp_synctty.c=
SERIAL_S5PV210 :: drivers/tty/serial/s5pv210.c=
NF_NAT :: net/ipv4/netfilter/nf_nat_core.c=net/ipv4/netfilter/nf_nat_helper.c=net/ipv4/netfilter/nf_nat_proto_unknown.c=net/ipv4/netfilter/nf_nat_proto_common.c=net/ipv4/netfilter/nf_nat_proto_tcp.c=net/ipv4/netfilter/nf_nat_proto_udp.c=net/ipv4/netfilter/nf_nat_proto_icmp.c=net/ipv4/netfilter/nf_nat_rule.c=net/ipv4/netfilter/nf_nat_standalone.c=
IXGBE :: drivers/net/ethernet/intel/ixgbe/ixgbe_main.c=drivers/net/ethernet/intel/ixgbe/ixgbe_common.c=drivers/net/ethernet/intel/ixgbe/ixgbe_common.h=drivers/net/ethernet/intel/ixgbe/ixgbe_ethtool.c=drivers/net/ethernet/intel/ixgbe/ixgbe_82599.c=drivers/net/ethernet/intel/ixgbe/ixgbe_82598.c=drivers/net/ethernet/intel/ixgbe/ixgbe_phy.c=drivers/net/ethernet/intel/ixgbe/ixgbe_phy.h=drivers/net/ethernet/intel/ixgbe/ixgbe_sriov.c=drivers/net/ethernet/intel/ixgbe/ixgbe_sriov.h=drivers/net/ethernet/intel/ixgbe/ixgbe_mbx.c=drivers/net/ethernet/intel/ixgbe/ixgbe_mbx.h=drivers/net/ethernet/intel/ixgbe/ixgbe_x540.c=ixgbe/=
X86 :: drivers/acpi/blacklist.c=drivers/pci/setup-bus.c=x86/=
MTD_TS5500 :: drivers/mtd/maps/ts5500_flash.c=
RTC_DRV_RX8581 :: drivers/rtc/rtc-rx8581.c=
SA1100_NANOENGINE :: arch/arm/mach-sa1100/nanoengine.c=drivers/pcmcia/sa1100_nanoengine.c=
SCSI_ENCLOSURE :: drivers/scsi/ses.c=
ARCH_MSM8X60 :: arch/arm/mach-msm/board-msm8x60.c=arch/arm/mach-msm/gpiomux-8x60.c=arch/arm/mach-msm/gpiomux-v2.c=arch/arm/mach-msm/gpiomux-v2.h=arch/arm/mach-msm/gpiomux.c=arch/arm/mach-msm/gpiomux.h=
MACH_CSB726 :: arch/arm/mach-pxa/csb726.c=
AGP_PARISC :: drivers/char/agp/parisc-agp.c=
MACH_U8500 :: arch/arm/mach-ux500/board-mop500.c=arch/arm/mach-ux500/board-mop500.h=arch/arm/mach-ux500/board-mop500-sdi.c=arch/arm/mach-ux500/board-mop500-regulators.c=arch/arm/mach-ux500/board-mop500-regulators.h=arch/arm/mach-ux500/board-mop500-uib.c=arch/arm/mach-ux500/board-mop500-stuib.c=arch/arm/mach-ux500/board-mop500-u8500uib.c=arch/arm/mach-ux500/board-mop500-pins.c=drivers/staging/ste_rmi4/board-mop500-u8500uib-rmi4.c=
ADB_MACIISI :: drivers/macintosh/via-maciisi.c=
ALPHA_GENERIC :: arch/alpha/kernel/core_apecs.c=arch/alpha/kernel/core_cia.c=arch/alpha/kernel/core_irongate.c=arch/alpha/kernel/core_lca.c=arch/alpha/kernel/core_mcpcia.c=arch/alpha/kernel/core_polaris.c=arch/alpha/kernel/core_t2.c=arch/alpha/kernel/core_tsunami.c=arch/alpha/kernel/sys_alcor.c=arch/alpha/kernel/sys_cabriolet.c=arch/alpha/kernel/sys_dp264.c=arch/alpha/kernel/sys_eb64p.c=arch/alpha/kernel/sys_eiger.c=arch/alpha/kernel/sys_jensen.c=arch/alpha/kernel/sys_miata.c=arch/alpha/kernel/sys_mikasa.c=arch/alpha/kernel/sys_nautilus.c=arch/alpha/kernel/sys_noritake.c=arch/alpha/kernel/sys_rawhide.c=arch/alpha/kernel/sys_ruffian.c=arch/alpha/kernel/sys_rx164.c=arch/alpha/kernel/sys_sable.c=arch/alpha/kernel/sys_sio.c=arch/alpha/kernel/sys_sx164.c=arch/alpha/kernel/sys_takara.c=arch/alpha/kernel/core_marvel.c=arch/alpha/kernel/core_titan.c=arch/alpha/kernel/core_wildfire.c=arch/alpha/kernel/sys_marvel.c=arch/alpha/kernel/sys_titan.c=arch/alpha/kernel/sys_wildfire.c=arch/alpha/kernel/err_ev7.c=arch/alpha/kernel/err_titan.c=arch/alpha/kernel/err_marvel.c=arch/alpha/oprofile/op_model_ev4.c=arch/alpha/oprofile/op_model_ev5.c=arch/alpha/oprofile/op_model_ev6.c=arch/alpha/oprofile/op_model_ev67.c=
MIPS_VPE_LOADER :: arch/mips/kernel/vpe.c=
NET_VENDOR_VIA :: via/=
ZCRYPT :: drivers/s390/crypto/zcrypt_api.c=drivers/s390/crypto/zcrypt_api.h=drivers/s390/crypto/zcrypt_pcicc.c=drivers/s390/crypto/zcrypt_pcicc.h=drivers/s390/crypto/zcrypt_pcixcc.c=drivers/s390/crypto/zcrypt_pcixcc.h=drivers/s390/crypto/zcrypt_pcica.c=drivers/s390/crypto/zcrypt_pcica.h=drivers/s390/crypto/zcrypt_cex2a.c=drivers/s390/crypto/zcrypt_cex2a.h=drivers/s390/crypto/ap_bus.c=drivers/s390/crypto/ap_bus.h=drivers/s390/crypto/zcrypt_mono.c=drivers/s390/crypto/ap_bus.c=drivers/s390/crypto/ap_bus.h=drivers/s390/crypto/zcrypt_api.c=drivers/s390/crypto/zcrypt_api.h=drivers/s390/crypto/zcrypt_pcica.c=drivers/s390/crypto/zcrypt_pcica.h=drivers/s390/crypto/zcrypt_pcicc.c=drivers/s390/crypto/zcrypt_pcicc.h=drivers/s390/crypto/zcrypt_pcixcc.c=drivers/s390/crypto/zcrypt_pcixcc.h=drivers/s390/crypto/zcrypt_cex2a.c=drivers/s390/crypto/zcrypt_cex2a.h=
CALGARY_IOMMU :: arch/x86/kernel/pci-calgary_64.c=arch/x86/kernel/tce_64.c=
MV_XOR :: drivers/dma/mv_xor.c=drivers/dma/mv_xor.h=
VIDEOBUF2_CORE :: drivers/media/video/videobuf2-core.c=
INET6_TUNNEL :: net/ipv6/tunnel6.c=
MACH_MV88F6281GTW_GE :: arch/arm/mach-kirkwood/mv88f6281gtw_ge-setup.c=
ARM_UNWIND :: arch/arm/kernel/unwind.c=
ARCH_AT91CAP9 :: arch/arm/mach-at91/at91cap9.c=arch/arm/mach-at91/at91sam926x_time.c=arch/arm/mach-at91/at91cap9_devices.c=arch/arm/mach-at91/sam9_smc.c=arch/arm/mach-at91/sam9_smc.h=
MN10300_CACHE_INV_BY_REG :: arch/mn10300/mm/cache-inv-by-reg.S=
IXGBE_DCB :: drivers/net/ethernet/intel/ixgbe/ixgbe_dcb.c=drivers/net/ethernet/intel/ixgbe/ixgbe_dcb.h=drivers/net/ethernet/intel/ixgbe/ixgbe_dcb_82598.c=drivers/net/ethernet/intel/ixgbe/ixgbe_dcb_82598.h=drivers/net/ethernet/intel/ixgbe/ixgbe_dcb_82599.c=drivers/net/ethernet/intel/ixgbe/ixgbe_dcb_82599.h=drivers/net/ethernet/intel/ixgbe/ixgbe_dcb_nl.c=
X25 :: x25/=net/x25/af_x25.c=net/x25/x25_dev.c=net/x25/x25_facilities.c=net/x25/x25_in.c=net/x25/x25_link.c=net/x25/x25_out.c=net/x25/x25_route.c=net/x25/x25_subr.c=net/x25/x25_timer.c=net/x25/x25_proc.c=net/x25/x25_forward.c=
PUV3_NB0916 :: arch/unicore32/kernel/puv3-nb0916.c=
PSTORE :: pstore/=
DVB_AV7110 :: drivers/media/dvb/ttpci/av7110_hw.c=drivers/media/dvb/ttpci/av7110_hw.h=drivers/media/dvb/ttpci/av7110_v4l.c=drivers/media/dvb/ttpci/av7110_av.c=drivers/media/dvb/ttpci/av7110_av.h=drivers/media/dvb/ttpci/av7110_ca.c=drivers/media/dvb/ttpci/av7110_ca.h=drivers/media/dvb/ttpci/av7110.c=drivers/media/dvb/ttpci/av7110.h=drivers/media/dvb/ttpci/av7110_ipack.c=drivers/media/dvb/ttpci/av7110_ipack.h=drivers/media/dvb/ttpci/av7110_ir.c=
BFIN537_BLUETECHNIX_CM_U :: arch/blackfin/mach-bf537/boards/cm_bf537u.c=
NETFILTER_XT_TARGET_TRACE :: net/netfilter/xt_TRACE.c=
XILINX_HWICAP :: xilinx_hwicap/=drivers/char/xilinx_hwicap/xilinx_hwicap.c=drivers/char/xilinx_hwicap/xilinx_hwicap.h=drivers/char/xilinx_hwicap/fifo_icap.c=drivers/char/xilinx_hwicap/fifo_icap.h=drivers/char/xilinx_hwicap/buffer_icap.c=drivers/char/xilinx_hwicap/buffer_icap.h=
HW_RANDOM_VIA :: drivers/char/hw_random/via-rng.c=
SERIAL_SUNHV :: drivers/tty/serial/sunhv.c=
SND_MAESTRO3 :: sound/pci/maestro3.c=
PCSPKR_PLATFORM :: arch/x86/kernel/pcspeaker.c=
DSCC4 :: drivers/net/wan/dscc4.c=
SPI_BFIN_SPORT :: drivers/spi/spi-bfin-sport.c=
BFIN527_EZKIT :: arch/blackfin/mach-bf527/boards/ezkit.c=
LIRC_SERIAL :: drivers/staging/media/lirc/lirc_serial.c=
SYNCLINK_GT :: drivers/tty/synclink_gt.c=
CIFS_ACL :: fs/cifs/cifsacl.c=fs/cifs/cifsacl.h=
CDROM_PKTCDVD :: drivers/block/pktcdvd.c=drivers/cdrom/cdrom.c=
MACH_HARMONY :: arch/arm/mach-tegra/board-harmony.c=arch/arm/mach-tegra/board-harmony.h=arch/arm/mach-tegra/board-harmony-pinmux.c=arch/arm/mach-tegra/board-harmony-pcie.c=arch/arm/mach-tegra/board-harmony-power.c=
MACH_SMDK :: arch/arm/plat-s3c24xx/common-smdk.c=
BF542M :: 
S3C64XX_DMA :: arch/arm/mach-s3c64xx/dma.c=
CPU_FR551_COMPILE :: 
BLK_DEV_SL82C105 :: drivers/ide/sl82c105.c=
OSF_PARTITION :: fs/partitions/osf.c=fs/partitions/osf.h=
ALPHA_PC164 :: arch/alpha/kernel/sys_cabriolet.c=arch/alpha/kernel/irq_i8259.c=arch/alpha/kernel/irq_srm.c=arch/alpha/kernel/smc37c93x.c=
TWL4030_USB :: drivers/usb/otg/twl4030-usb.c=
BFIN537_BLUETECHNIX_CM_E :: arch/blackfin/mach-bf537/boards/cm_bf537e.c=
SERIAL_BCM63XX :: drivers/tty/serial/bcm63xx_uart.c=
USB_GSPCA_NW80X :: drivers/media/video/gspca/nw80x.c=
ADE7854_SPI :: drivers/staging/iio/meter/ade7854-spi.c=
IA64_DIG :: arch/ia64/dig/=
PPC4xx_MSI :: arch/powerpc/sysdev/ppc4xx_msi.c=
MACH_ONEARM :: arch/arm/mach-at91/board-1arm.c=
REISERFS_FS :: reiserfs/=fs/reiserfs/bitmap.c=fs/reiserfs/do_balan.c=fs/reiserfs/namei.c=fs/reiserfs/inode.c=fs/reiserfs/file.c=fs/reiserfs/dir.c=fs/reiserfs/fix_node.c=fs/reiserfs/super.c=fs/reiserfs/prints.c=fs/reiserfs/objectid.c=fs/reiserfs/lbalance.c=fs/reiserfs/ibalance.c=fs/reiserfs/stree.c=fs/reiserfs/hashes.c=fs/reiserfs/tail_conversion.c=fs/reiserfs/journal.c=fs/reiserfs/resize.c=fs/reiserfs/item_ops.c=fs/reiserfs/ioctl.c=fs/reiserfs/xattr.c=fs/reiserfs/lock.c=fs/reiserfs/procfs.c=fs/reiserfs/xattr_user.c=fs/reiserfs/xattr_trusted.c=fs/reiserfs/xattr_security.c=fs/reiserfs/xattr_acl.c=
RTC_DRV_DS1742 :: drivers/rtc/rtc-ds1742.c=
PPC_82xx :: 82xx/=
REGMAP :: regmap/=drivers/base/regmap/regmap.c=drivers/base/regmap/regcache.c=drivers/base/regmap/regcache-indexed.c=drivers/base/regmap/regcache-rbtree.c=drivers/base/regmap/regcache-lzo.c=
DVB_STV0367 :: drivers/media/dvb/frontends/stv0367.c=drivers/media/dvb/frontends/stv0367.h=
HID_ELECOM :: drivers/hid/hid-elecom.c=
SND_SOC_SMDK_WM8580_PCM :: sound/soc/samsung/smdk_wm8580pcm.c=
BACKLIGHT_SAHARA :: drivers/video/backlight/kb3886_bl.c=
CARMA_FPGA :: drivers/misc/carma/carma-fpga.c=
NET_VENDOR_FUJITSU :: fujitsu/=
MACH_TX28 :: arch/arm/mach-mxs/mach-tx28.c=
SND_S6000_SOC :: sound/soc/s6000/s6000-pcm.c=sound/soc/s6000/s6000-pcm.h=
MISDN :: mISDN/=mISDN/=drivers/isdn/mISDN/core.c=drivers/isdn/mISDN/core.h=drivers/isdn/mISDN/fsm.c=drivers/isdn/mISDN/fsm.h=drivers/isdn/mISDN/socket.c=drivers/isdn/mISDN/clock.c=drivers/isdn/mISDN/hwchannel.c=drivers/isdn/mISDN/stack.c=drivers/isdn/mISDN/layer1.c=drivers/isdn/mISDN/layer1.h=drivers/isdn/mISDN/layer2.c=drivers/isdn/mISDN/layer2.h=drivers/isdn/mISDN/tei.c=drivers/isdn/mISDN/timerdev.c=
MMC_ARMMMCI :: drivers/mmc/host/mmci.c=drivers/mmc/host/mmci.h=
ALPHA_JENSEN :: arch/alpha/kernel/sys_jensen.c=arch/alpha/kernel/pci-noop.c=arch/alpha/kernel/irq_i8259.c=
SND_SOC_CS42L51 :: sound/soc/codecs/cs42l51.c=sound/soc/codecs/cs42l51.h=
SND_DAVINCI_SOC :: sound/soc/davinci/davinci-pcm.c=sound/soc/davinci/davinci-pcm.h=
CRYPTO_TEST :: crypto/tcrypt.c=crypto/tcrypt.h=
SAMPLE_TRACE_EVENTS :: samples/trace_events/trace-events-sample.c=samples/trace_events/trace-events-sample.h=
XILINX_ML510 :: arch/powerpc/platforms/44x/virtex_ml510.c=
BF544M :: 
IDEAPAD_LAPTOP :: drivers/platform/x86/ideapad-laptop.c=
SND_POWERMAC :: sound/ppc/powermac.c=sound/ppc/pmac.c=sound/ppc/pmac.h=sound/ppc/awacs.c=sound/ppc/awacs.h=sound/ppc/burgundy.c=sound/ppc/burgundy.h=sound/ppc/daca.c=sound/ppc/tumbler.c=sound/ppc/keywest.c=sound/ppc/beep.c=
NF_CONNTRACK_IPV6 :: net/ipv6/netfilter/nf_defrag_ipv6_hooks.c=net/ipv6/netfilter/nf_conntrack_reasm.c=net/ipv6/netfilter/nf_conntrack_l3proto_ipv6.c=net/ipv6/netfilter/nf_conntrack_proto_icmpv6.c=
NF_CONNTRACK_IPV4 :: net/ipv4/netfilter/nf_conntrack_l3proto_ipv4_compat.c=
MACH_NETSPACE_MAX_V2 :: arch/arm/mach-kirkwood/netspace_v2-setup.c=arch/arm/mach-kirkwood/lacie_v2-common.c=arch/arm/mach-kirkwood/lacie_v2-common.h=
MACH_GESBC9312 :: arch/arm/mach-ep93xx/gesbc9312.c=
